CHROM	BIN_START	BIN_END	EXP_HET	OBS_HET	TREATMENT
NC_035780.1	1820900	1821400	0.200078125	0.2375	CONCON
NC_035780.1	1821400	1821900	0.08525	0.09	CONCON
NC_035780.1	1821900	1822400	0.2488461538	0.3	CONCON
NC_035780.1	1822400	1822900	0.12546875	0.15625	CONCON
NC_035780.1	1822900	1823400	0.1856730769	0.2346153846	CONCON
NC_035780.1	1823400	1823900	0.1958695652	0.2391304348	CONCON
NC_035780.1	1823900	1824400	0.2548295455	0.2886363636	CONCON
NC_035780.1	1824400	1824900	0.2364423077	0.2807692308	CONCON
NC_035780.1	1824900	1825400	0.1374074074	0.162962963	CONCON
NC_035780.1	1825400	1825900	0.1814880952	0.230952381	CONCON
NC_035780.1	1825900	1826400	0.1496	0.18	CONCON
NC_035780.1	1826400	1826900	0.2504464286	0.2964285714	CONCON
NC_035780.1	1826900	1827400	0.1363257576	0.1621212121	CONCON
NC_035780.1	1827400	1827900	0.1737068966	0.224137931	CONCON
NC_035780.1	1827900	1828400	0.2659615385	0.3512820513	CONCON
NC_035780.1	1828400	1828900	0.2522596154	0.3057692308	CONCON
NC_035780.1	1828900	1829400	0.1943617021	0.2191489362	CONCON
NC_035780.1	1829400	1829900	0.2051715686	0.2460784314	CONCON
NC_035780.1	1829900	1830400	0.2457291667	0.2958333333	CONCON
NC_035780.1	1830400	1830900	0.1625735294	0.1941176471	CONCON
NC_035780.1	1830900	1831400	0.23775	0.2833333333	CONCON
NC_035780.1	1831400	1831900	0.26215625	0.32875	CONCON
NC_035780.1	1831900	1832400	0.1847727273	0.2181818182	CONCON
NC_035780.1	1832400	1832900	0.2118560606	0.2560606061	CONCON
NC_035780.1	1832900	1833400	0.1947014925	0.2134328358	CONCON
NC_035780.1	1833400	1833900	0.2071354167	0.2270833333	CONCON
NC_035780.1	1833900	1834400	0.198452381	0.2333333333	CONCON
NC_035780.1	1834400	1834900	0.2188636364	0.2454545455	CONCON
NC_035780.1	1834900	1835400	0.2608962264	0.2830188679	CONCON
NC_035780.1	1835400	1835900	0.2225304878	0.25	CONCON
NC_035780.1	1835900	1836400	0.1944758065	0.2403225806	CONCON
NC_035780.1	1836400	1836900	0.2516964286	0.2821428571	CONCON
NC_035780.1	1836900	1837400	0.2585069444	0.2958333333	CONCON
NC_035780.1	1837400	1837900	0.1896982759	0.2017241379	CONCON
NC_035780.1	1837900	1838400	0.2086458333	0.2430555556	CONCON
NC_035780.1	3469103	3469603	0.1935795455	0.2204545455	CONCON
NC_035780.1	3469603	3470103	0.1912980769	0.2416666667	CONCON
NC_035780.1	3470103	3470603	0.1542663043	0.1815217391	CONCON
NC_035780.1	3470603	3471103	0.24125	0.275	CONCON
NC_035780.1	3471103	3471603	0.1228571429	0.1571428571	CONCON
NC_035780.1	3471603	3472103	0.04875	0.05	CONCON
NC_035780.1	3472603	3473103	0.1281382979	0.1574468085	CONCON
NC_035780.1	3473103	3473603	0.2038	0.248	CONCON
NC_035780.1	3473603	3474103	0.1573863636	0.1772727273	CONCON
NC_035780.1	3474103	3474603	0.1650390625	0.1984375	CONCON
NC_035780.1	3474603	3475103	0.3102925532	0.4138297872	CONCON
NC_035780.1	3475103	3475603	0.3228125	0.428125	CONCON
NC_035780.1	3475603	3476103	0.27845	0.378	CONCON
NC_035780.1	3476103	3476603	0.2697560976	0.3390243902	CONCON
NC_035780.1	3476603	3477103	0.2685763889	0.3569444444	CONCON
NC_035780.1	3477103	3477603	0.2230487805	0.3170731707	CONCON
NC_035780.1	3477603	3478103	0.1871982759	0.2637931034	CONCON
NC_035780.1	3478103	3478603	0.2828928571	0.43	CONCON
NC_035780.1	3478603	3479103	0.2325986842	0.3328947368	CONCON
NC_035780.1	3479103	3479603	0.2633870968	0.3903225806	CONCON
NC_035780.1	3479603	3480103	0.3503532609	0.527173913	CONCON
NC_035780.1	3480103	3480603	0.3513888889	0.5222222222	CONCON
NC_035780.1	3480603	3481103	0.433828125	0.684375	CONCON
NC_035780.1	3481103	3481603	0.2864864865	0.4243243243	CONCON
NC_035780.1	3481603	3482103	0.30171875	0.40625	CONCON
NC_035780.1	3482103	3482603	0.2752445652	0.3684782609	CONCON
NC_035780.1	3482603	3483103	0.2544871795	0.3333333333	CONCON
NC_035780.1	3483103	3483603	0.2714814815	0.3407407407	CONCON
NC_035780.1	3483603	3484103	0.28296875	0.33125	CONCON
NC_035780.1	3484103	3484603	0.1059375	0.1175	CONCON
NC_035780.1	3484603	3485103	0.1610714286	0.1928571429	CONCON
NC_035780.1	3485103	3485603	0.2336931818	0.2568181818	CONCON
NC_035780.1	3485603	3486103	0.2443990385	0.2875	CONCON
NC_035780.1	3486103	3486603	0.2895454545	0.3757575758	CONCON
NC_035780.1	3486603	3487103	0.2586931818	0.3840909091	CONCON
NC_035780.1	3487103	3487603	0.183984375	0.21875	CONCON
NC_035780.1	3487603	3488103	0.1770967742	0.2096774194	CONCON
NC_035780.1	3488103	3488603	0.1690178571	0.2107142857	CONCON
NC_035780.1	3488603	3489103	0.1979166667	0.2666666667	CONCON
NC_035780.1	3489103	3489603	0.1827586207	0.2206896552	CONCON
NC_035780.1	3489603	3490103	0.15475	0.17	CONCON
NC_035780.1	3490103	3490603	0.1628819444	0.2208333333	CONCON
NC_035780.1	3490603	3491103	0.1492708333	0.1763888889	CONCON
NC_035780.1	3491103	3491603	0.106875	0.1166666667	CONCON
NC_035780.1	3491603	3492103	0.1679166667	0.2083333333	CONCON
NC_035780.1	3492103	3492603	0.15484375	0.18125	CONCON
NC_035780.1	3492603	3493103	0.1625862069	0.1965517241	CONCON
NC_035780.1	3493103	3493603	0.17334375	0.22875	CONCON
NC_035780.1	3493603	3494103	0.2734375	0.3375	CONCON
NC_035780.1	9450755	9451255	0.1625694444	0.1916666667	CONCON
NC_035780.1	9451755	9452255	0.2166666667	0.2666666667	CONCON
NC_035780.1	9452255	9452755	0.21875	0.25	CONCON
NC_035780.1	9452755	9453255	0.3130555556	0.3666666667	CONCON
NC_035780.1	9453255	9453755	0.2516447368	0.2473684211	CONCON
NC_035780.1	9453755	9454255	0.193125	0.2166666667	CONCON
NC_035780.1	9454255	9454755	0.1830978261	0.2152173913	CONCON
NC_035780.1	9454755	9455255	0.1121646341	0.1231707317	CONCON
NC_035780.1	9455255	9455755	0.1743103448	0.2206896552	CONCON
NC_035780.1	9455755	9456255	0.1065073529	0.1220588235	CONCON
NC_035780.1	9456255	9456755	0.1441666667	0.1666666667	CONCON
NC_035780.1	9456755	9457255	0.1273161765	0.1544117647	CONCON
NC_035780.1	9457255	9457755	0.32	0.4	CONCON
NC_035780.1	9458255	9458755	0.2381944444	0.3055555556	CONCON
NC_035780.1	9458755	9459255	0.1684375	0.2160714286	CONCON
NC_035780.1	9459255	9459755	0.2030263158	0.2684210526	CONCON
NC_035780.1	9459755	9460255	0.2630208333	0.3541666667	CONCON
NC_035780.1	9460255	9460755	0.1776666667	0.21	CONCON
NC_035780.1	9460755	9461255	0.1681944444	0.1916666667	CONCON
NC_035780.1	9461255	9461755	0.316875	0.4083333333	CONCON
NC_035780.1	9461755	9462255	0.2259615385	0.2846153846	CONCON
NC_035780.1	9462255	9462755	0.1702403846	0.1980769231	CONCON
NC_035780.1	9462755	9463255	0.1374342105	0.1657894737	CONCON
NC_035780.1	9463255	9463755	0.1383064516	0.164516129	CONCON
NC_035780.1	9463755	9464255	0.1197916667	0.1291666667	CONCON
NC_035780.1	9464255	9464755	0.2319318182	0.2772727273	CONCON
NC_035780.1	9464755	9465255	0.09635714286	0.1057142857	CONCON
NC_035780.1	9465255	9465755	0.08652777778	0.09722222222	CONCON
NC_035780.1	9465755	9466255	0.06767857143	0.07142857143	CONCON
NC_035780.1	9466255	9466755	0.09428571429	0.1	CONCON
NC_035780.1	9466755	9467255	0.07111842105	0.07631578947	CONCON
NC_035780.1	9467255	9467755	0.1101388889	0.1240740741	CONCON
NC_035780.1	9467755	9468255	0.1674013158	0.1697368421	CONCON
NC_035780.1	9468255	9468755	0.17225	0.165	CONCON
NC_035780.1	9468755	9469255	0.12925	0.125	CONCON
NC_035780.1	9469255	9469755	0.1955714286	0.2028571429	CONCON
NC_035780.1	9469755	9470255	0.2111607143	0.225	CONCON
NC_035780.1	9470255	9470755	0.1539095745	0.1776595745	CONCON
NC_035780.1	9470755	9471255	0.09991666667	0.11	CONCON
NC_035780.1	9471255	9471755	0.14125	0.1666666667	CONCON
NC_035780.1	9471755	9472255	0.1942857143	0.2357142857	CONCON
NC_035780.1	9472255	9472755	0.1552272727	0.1863636364	CONCON
NC_035780.1	9472755	9473255	0.1023897059	0.1161764706	CONCON
NC_035780.1	9473255	9473755	0.1020108696	0.1152173913	CONCON
NC_035780.1	9473755	9474255	0.08722222222	0.1	CONCON
NC_035780.1	9474255	9474755	0.12	0.1384615385	CONCON
NC_035780.1	9474755	9475255	0.1523958333	0.1819444444	CONCON
NC_035780.1	9475255	9475755	0.1377840909	0.1613636364	CONCON
NC_035780.1	9476255	9476755	0.10890625	0.08125	CONCON
NC_035780.1	9476755	9477255	0.1309482759	0.1344827586	CONCON
NC_035780.1	9477255	9477755	0.1393958333	0.1541666667	CONCON
NC_035780.1	9477755	9478255	0.1708928571	0.175	CONCON
NC_035780.1	9478255	9478755	0.1585843373	0.1638554217	CONCON
NC_035780.1	9478755	9479255	0.1534583333	0.165	CONCON
NC_035780.1	9479255	9479755	0.2550961538	0.3038461538	CONCON
NC_035780.1	9479755	9480255	0.08225	0.09	CONCON
NC_035780.1	9480255	9480755	0.0359375	0.0375	CONCON
NC_035780.1	9480755	9481255	0.1706666667	0.2	CONCON
NC_035780.1	9481255	9481755	0.1843181818	0.2272727273	CONCON
NC_035780.1	9481755	9482255	0.1932894737	0.2263157895	CONCON
NC_035780.1	9482255	9482755	0.1965217391	0.2347826087	CONCON
NC_035780.1	9482755	9483255	0.1322619048	0.1428571429	CONCON
NC_035780.1	9483255	9483755	0.1463443396	0.1669811321	CONCON
NC_035780.1	9483755	9484255	0.1265131579	0.1421052632	CONCON
NC_035780.1	9484255	9484755	0.1548310811	0.1743243243	CONCON
NC_035780.1	9484755	9485255	0.1436853448	0.1646551724	CONCON
NC_035780.1	9485255	9485755	0.1256009615	0.1451923077	CONCON
NC_035780.1	9485755	9486255	0.09863425926	0.1083333333	CONCON
NC_035780.1	9486255	9486755	0.1303645833	0.1479166667	CONCON
NC_035780.1	9486755	9487255	0.1228532609	0.1336956522	CONCON
NC_035780.1	9487255	9487755	0.1651041667	0.1958333333	CONCON
NC_035780.1	9487755	9488255	0.119765625	0.134375	CONCON
NC_035780.1	9488255	9488755	0.13125	0.1413043478	CONCON
NC_035780.1	9488755	9489255	0.1150271739	0.1293478261	CONCON
NC_035780.1	9489255	9489755	0.1709482759	0.1965517241	CONCON
NC_035780.1	9489755	9490255	0.1560377358	0.1754716981	CONCON
NC_035780.1	9490255	9490755	0.1350568182	0.1522727273	CONCON
NC_035780.1	23893983	23894483	0.3127678571	0.4392857143	CONCON
NC_035780.1	23894483	23894983	0.2454375	0.3025	CONCON
NC_035780.1	23894983	23895483	0.2181640625	0.2828125	CONCON
NC_035780.1	23895483	23895983	0.2035511364	0.2511363636	CONCON
NC_035780.1	23895983	23896483	0.1721590909	0.1824675325	CONCON
NC_035780.1	23896483	23896983	0.12535	0.14	CONCON
NC_035780.1	23896983	23897483	0.1243548387	0.1548387097	CONCON
NC_035780.1	23897483	23897983	0.185	0.22	CONCON
NC_035780.1	23897983	23898483	0.1678846154	0.2230769231	CONCON
NC_035780.1	23898483	23898983	0.2402777778	0.3111111111	CONCON
NC_035780.1	23898983	23899483	0.1561363636	0.1848484848	CONCON
NC_035780.1	23899483	23899983	0.228125	0.29	CONCON
NC_035780.1	23899983	23900483	0.2102884615	0.2576923077	CONCON
NC_035780.1	23900483	23900983	0.165	0.1977777778	CONCON
NC_035780.1	23900983	23901483	0.2301923077	0.3307692308	CONCON
NC_035780.1	23901483	23901983	0.22675	0.29	CONCON
NC_035780.1	23901983	23902483	0.2470833333	0.2833333333	CONCON
NC_035780.1	23902483	23902983	0.1923333333	0.2066666667	CONCON
NC_035780.1	23902983	23903483	0.189453125	0.221875	CONCON
NC_035780.1	23903483	23903983	0.1670138889	0.1972222222	CONCON
NC_035780.1	23903983	23904483	0.1853947368	0.2052631579	CONCON
NC_035780.1	23904483	23904983	0.2411057692	0.3173076923	CONCON
NC_035780.1	23905483	23905983	0.1634895833	0.1854166667	CONCON
NC_035780.1	23905983	23906483	0.2016964286	0.2339285714	CONCON
NC_035780.1	23906483	23906983	0.3394230769	0.3692307692	CONCON
NC_035780.1	23906983	23907483	0.2609375	0.3125	CONCON
NC_035780.1	23907483	23907983	0.2161538462	0.2538461538	CONCON
NC_035780.1	23907983	23908483	0.3034722222	0.35	CONCON
NC_035780.1	23909483	23909983	0.1593028846	0.1855769231	CONCON
NC_035780.1	23909983	23910483	0.1624486301	0.1869863014	CONCON
NC_035780.1	23910483	23910983	0.21375	0.2333333333	CONCON
NC_035780.1	23910983	23911483	0.3141346154	0.4038461538	CONCON
NC_035780.1	23911483	23911983	0.1634782609	0.202173913	CONCON
NC_035780.1	23911983	23912483	0.1829166667	0.2038461538	CONCON
NC_035780.1	23912483	23912983	0.189781746	0.25	CONCON
NC_035780.1	23912983	23913483	0.1983823529	0.2529411765	CONCON
NC_035780.1	23913483	23913983	0.2568	0.332	CONCON
NC_035780.1	23913983	23914483	0.155106383	0.185106383	CONCON
NC_035780.1	23914483	23914983	0.1125	0.1173913043	CONCON
NC_035780.1	23916483	23916983	0.2344391026	0.2775641026	CONCON
NC_035780.1	23916983	23917483	0.2292857143	0.2607142857	CONCON
NC_035780.1	23917483	23917983	0.1629861111	0.1527777778	CONCON
NC_035780.1	23917983	23918483	0.1628571429	0.1714285714	CONCON
NC_035780.1	23918483	23918983	0.1856730769	0.2230769231	CONCON
NC_035780.1	23918983	23919483	0.21425	0.25	CONCON
NC_035780.1	23919483	23919983	0	0	CONCON
NC_035780.1	23919983	23920483	0.1282954545	0.1409090909	CONCON
NC_035780.1	23920483	23920983	0.09902777778	0.1166666667	CONCON
NC_035780.1	23920983	23921483	0.1540384615	0.1807692308	CONCON
NC_035780.1	23921483	23921983	0.1653846154	0.1846153846	CONCON
NC_035780.1	23921983	23922483	0.2047058824	0.2235294118	CONCON
NC_035780.1	23922483	23922983	0.024375	0.025	CONCON
NC_035780.1	23922983	23923483	0.2393055556	0.2388888889	CONCON
NC_035780.1	23923483	23923983	0.159375	0.175	CONCON
NC_035780.1	23924483	23924983	0.2802083333	0.3583333333	CONCON
NC_035780.1	23924983	23925483	0.2034722222	0.2722222222	CONCON
NC_035780.1	23925483	23925983	0.20625	0.2451219512	CONCON
NC_035780.1	23925983	23926483	0.2116509434	0.2490566038	CONCON
NC_035780.1	23926483	23926983	0.2570376712	0.3308219178	CONCON
NC_035780.1	23926983	23927483	0.2374776786	0.30625	CONCON
NC_035780.1	23927483	23927983	0.2503240741	0.2981481481	CONCON
NC_035780.1	23927983	23928483	0.23875	0.25	CONCON
NC_035780.1	23928483	23928983	0.2071388889	0.23	CONCON
NC_035780.1	23928983	23929483	0.1747802198	0.2153846154	CONCON
NC_035780.1	23929483	23929983	0.2124107143	0.225	CONCON
NC_035780.1	23929983	23930483	0.1733181818	0.1927272727	CONCON
NC_035780.1	23930483	23930983	0.1764197531	0.1901234568	CONCON
NC_035780.1	23930983	23931483	0.1867008197	0.1991803279	CONCON
NC_035780.1	23931483	23931983	0.135495283	0.1424528302	CONCON
NC_035780.1	23931983	23932483	0.157875	0.175	CONCON
NC_035780.1	23932483	23932983	0.1633125	0.1925	CONCON
NC_035780.1	23932983	23933483	0.1136764706	0.1294117647	CONCON
NC_035780.1	24190899	24191399	0.2726785714	0.2928571429	CONCON
NC_035780.1	24191399	24191899	0.1985416667	0.2861111111	CONCON
NC_035780.1	24191899	24192399	0.18825	0.22	CONCON
NC_035780.1	24192899	24193399	0.2029166667	0.25	CONCON
NC_035780.1	24193399	24193899	0.221875	0.25	CONCON
NC_035780.1	24193899	24194399	0.116875	0.125	CONCON
NC_035780.1	24194399	24194899	0.2852083333	0.2916666667	CONCON
NC_035780.1	24194899	24195399	0.2927083333	0.425	CONCON
NC_035780.1	24195399	24195899	0.2034868421	0.2342105263	CONCON
NC_035780.1	24195899	24196399	0.2023863636	0.2227272727	CONCON
NC_035780.1	24196399	24196899	0.1272727273	0.1454545455	CONCON
NC_035780.1	24197899	24198399	0.194375	0.2583333333	CONCON
NC_035780.1	24198399	24198899	0.49875	0.65	CONCON
NC_035780.1	24200399	24200899	0.4754166667	0.7833333333	CONCON
NC_035780.1	24200899	24201399	0.2186538462	0.2923076923	CONCON
NC_035780.1	24201399	24201899	0.2436363636	0.3090909091	CONCON
NC_035780.1	24201899	24202399	0.2254891304	0.3282608696	CONCON
NC_035780.1	24202899	24203399	0.2126	0.298	CONCON
NC_035780.1	24203399	24203899	0.215375	0.3383333333	CONCON
NC_035780.1	24203899	24204399	0.1966581633	0.3051020408	CONCON
NC_035780.1	24204399	24204899	0.1563068182	0.2	CONCON
NC_035780.1	24204899	24205399	0.16334375	0.19875	CONCON
NC_035780.1	24205399	24205899	0.12775	0.15	CONCON
NC_035780.1	24205899	24206399	0.3090277778	0.3944444444	CONCON
NC_035780.1	24206399	24206899	0.2725	0.3666666667	CONCON
NC_035780.1	24206899	24207399	0.1911184211	0.2447368421	CONCON
NC_035780.1	24207399	24207899	0.1443571429	0.1857142857	CONCON
NC_035780.1	24207899	24208399	0.09730769231	0.1153846154	CONCON
NC_035780.1	24208399	24208899	0.2138461538	0.275	CONCON
NC_035780.1	24208899	24209399	0.1134	0.126	CONCON
NC_035780.1	24209399	24209899	0.1735294118	0.1725490196	CONCON
NC_035780.1	24209899	24210399	0.1326644737	0.1671052632	CONCON
NC_035780.1	24210399	24210899	0.08919642857	0.1035714286	CONCON
NC_035780.1	24210899	24211399	0.1996036585	0.2256097561	CONCON
NC_035780.1	24211399	24211899	0.156775	0.177	CONCON
NC_035780.1	24211899	24212399	0.2109259259	0.2351851852	CONCON
NC_035780.1	24212399	24212899	0.2095967742	0.2451612903	CONCON
NC_035780.1	24212899	24213399	0.18625	0.2	CONCON
NC_035780.1	24213399	24213899	0.1987755102	0.2387755102	CONCON
NC_035780.1	24213899	24214399	0.2880555556	0.3333333333	CONCON
NC_035780.1	24214399	24214899	0.30125	0.3833333333	CONCON
NC_035780.1	24214899	24215399	0.2265972222	0.275	CONCON
NC_035780.1	24215399	24215899	0.12234375	0.1375	CONCON
NC_035780.1	24215899	24216399	0.1607954545	0.1954545455	CONCON
NC_035780.1	24216399	24216899	0.08430555556	0.09444444444	CONCON
NC_035780.1	24216899	24217399	0.23890625	0.26875	CONCON
NC_035780.1	24217899	24218399	0.414375	0.475	CONCON
NC_035780.1	24218399	24218899	0.1763863636	0.2045454545	CONCON
NC_035780.1	24218899	24219399	0.1804166667	0.2166666667	CONCON
NC_035780.1	24220399	24220899	0.2225	0.225	CONCON
NC_035780.1	24220899	24221399	0.2149038462	0.2384615385	CONCON
NC_035780.1	24221399	24221899	0.1898828125	0.2203125	CONCON
NC_035780.1	24221899	24222399	0.1752115385	0.21	CONCON
NC_035780.1	24222399	24222899	0.1792887931	0.2232758621	CONCON
NC_035780.1	24222899	24223399	0.2641737288	0.3754237288	CONCON
NC_035780.1	24223399	24223899	0.18	0.2235294118	CONCON
NC_035780.1	24223899	24224399	0.1870089286	0.2482142857	CONCON
NC_035780.1	24224399	24224899	0.1499652778	0.1791666667	CONCON
NC_035780.1	24224899	24225399	0.1964130435	0.2326086957	CONCON
NC_035780.1	24225399	24225899	0.2408888889	0.2888888889	CONCON
NC_035780.1	24225899	24226399	0.1513425926	0.1833333333	CONCON
NC_035780.1	24226399	24226899	0.09851851852	0.1111111111	CONCON
NC_035780.1	24226899	24227399	0.1362132353	0.1632352941	CONCON
NC_035780.1	24227399	24227899	0.0925	0.1092592593	CONCON
NC_035780.1	24227899	24228399	0.1206839623	0.1424528302	CONCON
NC_035780.1	24228399	24228899	0.1207838983	0.143220339	CONCON
NC_035780.1	24228899	24229399	0.1168074324	0.1304054054	CONCON
NC_035780.1	24229399	24229899	0.1523106061	0.1772727273	CONCON
NC_035780.1	25682785	25683285	0.1606395349	0.1906976744	CONCON
NC_035780.1	25683285	25683785	0.2400454545	0.2872727273	CONCON
NC_035780.1	25683785	25684285	0.2196982759	0.2534482759	CONCON
NC_035780.1	25684285	25684785	0.20505	0.226	CONCON
NC_035780.1	25684785	25685285	0.2250219298	0.248245614	CONCON
NC_035780.1	25685285	25685785	0.2269807692	0.2315384615	CONCON
NC_035780.1	25685785	25686285	0.2044140625	0.2125	CONCON
NC_035780.1	25686285	25686785	0.2308231707	0.2548780488	CONCON
NC_035780.1	25686785	25687285	0.2210416667	0.2516666667	CONCON
NC_035780.1	25687285	25687785	0.2069132653	0.237755102	CONCON
NC_035780.1	25687785	25688285	0.04875	0.05	CONCON
NC_035780.1	25688285	25688785	0.2740988372	0.3430232558	CONCON
NC_035780.1	25688785	25689285	0.2626488095	0.2869047619	CONCON
NC_035780.1	25689285	25689785	0.2567261905	0.3023809524	CONCON
NC_035780.1	25689785	25690285	0.1903457447	0.2159574468	CONCON
NC_035780.1	25690285	25690785	0.134047619	0.1380952381	CONCON
NC_035780.1	25690785	25691285	0.1871568627	0.2098039216	CONCON
NC_035780.1	25691285	25691785	0.1279383117	0.1396103896	CONCON
NC_035780.1	25691785	25692285	0.1296106557	0.143442623	CONCON
NC_035780.1	25692285	25692785	0.1100223214	0.1258928571	CONCON
NC_035780.1	25692785	25693285	0.1923863636	0.2136363636	CONCON
NC_035780.1	25693285	25693785	0.1304280822	0.1349315068	CONCON
NC_035780.1	25693785	25694285	0.1268014706	0.1352941176	CONCON
NC_035780.1	25694285	25694785	0.1905637255	0.2107843137	CONCON
NC_035780.1	25694785	25695285	0.158619186	0.1610465116	CONCON
NC_035780.1	25695285	25695785	0.1725462963	0.2018518519	CONCON
NC_035780.1	25695785	25696285	0.1792708333	0.1875	CONCON
NC_035780.1	25696285	25696785	0.1785351563	0.20234375	CONCON
NC_035780.1	25696785	25697285	0.18425	0.19	CONCON
